id,edad,educacion,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds,cluster
585,Entre 35 y 54 años,Terciario COMPLETO,Mujer,San Justo,-3,-3,-2,2,1,1,-3,0,0,0,-3,0,0,0,-2,2
586,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Rafael Castillo,-3,-3,-3,-1,3,0,3,0,0,0,2,0,0,0,-1,2
587,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,La Tablada,-3,3,-3,-3,-3,-3,-2,0,0,0,-3,0,2,0,0,1
588,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Villa Celina,-3,-3,-3,-2,0,0,0,0,0,-2,1,0,-2,-1,-3,2
589,Entre 16 y 24 años,Secundaria COMPLETA,Hombre,González Catán,-1,-2,-1,-2,-1,-3,-1,0,0,0,-3,0,0,0,-1,1
590,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,-2,-3,-3,1,3,-2,3,0,0,1,2,0,-3,0,-2,2
591,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,1,2,-2,-3,-3,0,1,0,0,0,-3,1,1,0,1,1
592,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,-1,3,-3,-3,-3,-3,1,0,0,0,0,0,0,0,1,1
593,Entre 25 y 34 años,Universitario COMPLETO,Hombre,Ciudad Evita,2,3,-2,-3,3,0,1,0,0,0,-2,1,1,0,1,1
594,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,San Justo,1,3,-1,-3,-3,-3,-3,0,0,0,-3,0,0,0,1,1
595,Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Ciudad Evita,3,3,1,-3,-3,1,-2,0,0,0,-3,0,0,0,1,1
596,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Isidro Casanova,1,1,1,-2,-2,0,-2,0,0,0,-2,2,2,2,3,1
597,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,3,3,3,-3,3,0,-3,0,0,0,-3,0,0,0,3,1
598,Entre 25 y 34 años,Universitario COMPLETO,Hombre,Ciudad Evita,-2,-1,-2,-3,-3,-2,-3,0,-1,-3,-3,0,-3,0,-2,1
599,55 años o más,Terciario INCOMPLETO,Mujer,Villa Madero,3,3,-1,-2,-3,0,-3,0,0,0,-3,0,0,0,1,1
600,Entre 35 y 54 años,Terciario COMPLETO,Mujer,San Justo,-3,-3,-3,-1,3,1,1,0,0,0,-2,0,1,0,2,2
601,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Virrey del Pino,-3,-3,-1,-2,-1,0,-1,0,0,0,-3,-1,2,0,-1,2
602,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Rafael Castillo,-3,-3,-3,-2,1,1,-3,0,1,-1,-1,-2,1,0,-3,2
603,Entre 25 y 34 años,Primaria COMPLETA,Mujer,Isidro Casanova,2,2,2,1,0,0,0,0,0,0,1,0,0,0,2,1
604,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,1,-2,-2,1,2,1,-2,0,0,0,0,1,0,0,1,2
605,Entre 35 y 54 años,Terciario COMPLETO,Hombre,Villa Madero,-1,1,-2,-3,-2,-1,-2,0,-2,0,-3,-3,0,0,-2,1
606,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Ramos Mejía,-1,-1,0,-1,-1,0,1,0,0,0,-3,0,0,0,1,1
607,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,2,2,-2,-2,-1,0,0,0,0,0,2,0,-2,1,1,1
608,55 años o más,Primaria INCOMPLETA,Mujer,Villa Celina,3,2,-1,-3,1,1,1,0,0,1,-2,0,1,0,2,1
609,Entre 16 y 24 años,Secundaria INCOMPLETA,Mujer,San Justo,1,2,2,-3,0,0,0,0,0,0,-3,0,0,0,-1,1
610,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Laferrere,-1,-2,-3,1,1,0,0,0,0,0,-2,0,1,0,-1,2
