edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,Regular negativa,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,González Catán,Muy positiva,Muy positiva,Regular positiva,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Regular negativa,Regular positiva,No la conozco,Regular positiva,Regular positiva,Positiva,Positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,Regular positiva,Regular positiva,Positiva,Negativa,Regular negativa,Positiva,Regular negativa,Regular negativa,Regular negativa,Negativa,Regular negativa,Regular negativa,Regular positiva,Negativa,Regular negativa
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,González Catán,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,No la conozco,No lo conozco,No lo conozco,Regular negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Isidro Casanova,Muy positiva,Muy positiva,Positiva,Muy negativa,Muy negativa,Regular positiva,Muy negativa,Regular negativa,Positiva,Negativa,Regular negativa,Negativa,Muy negativa,Regular positiva,Positiva
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,Muy positiva,Muy positiva,Positiva,Regular negativa,Regular positiva,Regular positiva,Regular negativa,Regular negativa,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,González Catán,Negativa,Regular negativa,Regular negativa,Regular positiva,Positiva,Regular negativa,Muy negativa,Regular negativa,Regular positiva,Regular negativa,No la conozco,Regular positiva,No lo conozco,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Madero,Regular positiva,Regular positiva,Regular positiva,Regular negativa,Negativa,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular positiva,Regular negativa,Regular positiva
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Villa Luzuriaga,Muy positiva,Muy negativa,Muy negativa,Regular positiva,Muy positiva,Regular negativa,Positiva,Regular negativa,Muy positiva,No lo conozco,Muy positiva,No la conozco,Positiva,No lo conozco,Muy negativa
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Rafael Castillo,Muy positiva,Negativa,Regular positiva,Muy negativa,Muy negativa,No lo conozco,Muy negativa,Regular negativa,No lo conozco,Muy negativa,Muy negativa,Positiva,Positiva,Regular positiva,Negativa
Entre 25 y 34 años,Terciario COMPLETO,Mujer,San Justo,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Positiva,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Negativa,Regular negativa,Regular negativa,Regular positiva,Regular negativa
Entre 16 y 24 años,Terciario INCOMPLETO,Hombre,Laferrere,Muy negativa,Muy negativa,Muy negativa,Negativa,Regular positiva,No lo conozco,Regular positiva,Regular negativa,No lo conozco,No lo conozco,Positiva,No la conozco,Regular negativa,No lo conozco,Negativa
55 años o más,Secundaria INCOMPLETA,Mujer,Isidro Casanova,Regular negativa,Regular negativa,Regular negativa,Muy negativa,Regular positiva,Regular negativa,Muy negativa,Regular negativa,Regular negativa,Negativa,Negativa,Regular negativa,Regular positiva,No lo conozco,Positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,Regular negativa,Negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular positiva
Entre 16 y 24 años,Secundaria INCOMPLETA,Hombre,González Catán,Regular negativa,Regular positiva,No lo conozco,Muy negativa,Regular positiva,Regular positiva,Muy positiva,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular positiva,Regular positiva,Regular negativa,Regular negativa
Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Virrey del Pino,Regular positiva,Positiva,Regular negativa,Muy negativa,Muy negativa,Regular negativa,Regular positiva,Regular negativa,No lo conozco,No lo conozco,Negativa,Muy negativa,Regular negativa,No lo conozco,Positiva
Entre 35 y 54 años,Posgrado y más,Mujer,Isidro Casanova,Negativa,Negativa,Regular positiva,Regular positiva,Regular positiva,No lo conozco,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa
Entre 35 y 54 años,Terciario COMPLETO,Mujer,San Justo,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,San Justo,Regular negativa,Muy negativa,Negativa,Muy negativa,Negativa,Regular negativa,Negativa,Regular negativa,Regular negativa,Regular negativa,Negativa,Negativa,Negativa,Regular negativa,Negativa
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Rafael Castillo,Regular positiva,Regular positiva,Regular positiva,Muy negativa,Regular negativa,Negativa,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular positiva,Regular positiva
Entre 35 y 54 años,Terciario COMPLETO,Mujer,Lomas del Mirador,No lo conozco,Negativa,Muy negativa,Negativa,Regular negativa,Regular negativa,Negativa,Regular negativa,No lo conozco,No lo conozco,Muy negativa,Regular negativa,No lo conozco,No lo conozco,Regular negativa
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Laferrere,Regular positiva,Regular positiva,Positiva,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Regular positiva,Regular positiva,Negativa,Regular negativa,Regular positiva,Regular positiva,Regular positiva
Entre 25 y 34 años,Secundaria COMPLETA,Mujer,San Justo,Negativa,Negativa,Negativa,Regular negativa,Regular negativa,Regular positiva,Negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,San Justo,Muy negativa,Muy negativa,Regular negativa,Regular positiva,Negativa,Regular positiva,Muy positiva,Regular negativa,Regular negativa,Regular positiva,Positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa
Entre 35 y 54 años,Universitario COMPLETO,Mujer,Virrey del Pino,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa,No lo conozco,Positiva,Regular negativa,No lo conozco,Regular negativa,Regular negativa,No la conozco,Regular negativa,No lo conozco,Regular negativa
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Isidro Casanova,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Negativa,Negativa,Positiva,Regular negativa,No lo conozco,No lo conozco,Muy negativa,Muy negativa,No lo conozco,No lo conozco,Regular negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Virrey del Pino,Muy negativa,Negativa,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Negativa,Muy negativa,Muy negativa,No la conozco,Regular positiva,Regular negativa,Muy negativa
55 años o más,Secundaria COMPLETA,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Muy positiva,Positiva,Positiva,Regular negativa,Negativa,Regular negativa,Regular negativa,Regular positiva,Regular positiva,Regular negativa,Muy negativa
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Laferrere,Muy positiva,Positiva,Regular positiva,Muy negativa,Regular positiva,Positiva,Negativa,Regular negativa,Muy negativa,No lo conozco,No la conozco,Positiva,Regular positiva,Regular negativa,Regular positiva
55 años o más,Secundaria INCOMPLETA,Hombre,Isidro Casanova,Muy positiva,Positiva,Positiva,Muy negativa,Negativa,Regular positiva,Regular positiva,Regular negativa,Positiva,Regular negativa,Regular negativa,Regular positiva,Positiva,Regular positiva,Positiva
Entre 35 y 54 años,Posgrado y más,Mujer,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Negativa,Regular positiva,Regular positiva,Positiva,Regular negativa,Negativa,Negativa,Positiva,Regular negativa,Regular negativa,Muy negativa,Muy negativa
Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Laferrere,Regular negativa,Muy negativa,Regular negativa,Regular negativa,Regular positiva,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa,Regular negativa
